,grado,lambda,MSE_entrenamiento_OLS,MSE_entrenamiento_ridge,MSE_prueba_OLS,MSE_prueba_ridge
101,2.0,0.01,0.4621871976939597,0.4622967333642536,1.4784646016971357,1.4590871301712967
102,2.0,0.02,0.4621871976939597,0.4626182400830485,1.4784646016971357,1.4406830095854832
103,2.0,0.03,0.4621871976939597,0.46314148629287677,1.4784646016971357,1.423205399425046
104,2.0,0.04,0.4621871976939597,0.46385677276919485,1.4784646016971357,1.4066099057890706
105,2.0,0.05,0.4621871976939597,0.4647549016885107,1.4784646016971357,1.3908544389916033
106,2.0,0.06,0.4621871976939597,0.46582714770644873,1.4784646016971357,1.375899080422374
107,2.0,0.07,0.4621871976939597,0.46706523090065133,1.4784646016971357,1.3617059579982675
108,2.0,0.08,0.4621871976939597,0.46846129144496274,1.4784646016971357,1.3482391295900447
109,2.0,0.09,0.4621871976939597,0.47000786589187654,1.4784646016971357,1.335464473857523
110,2.0,0.1,0.4621871976939597,0.4716978649498536,1.4784646016971357,1.3233495879705017
111,2.0,0.11,0.4621871976939597,0.4735245526509222,1.4784646016971357,1.311863691733742
112,2.0,0.12,0.4621871976939597,0.47548152681204325,1.4784646016971357,1.3009775376709134
113,2.0,0.13,0.4621871976939597,0.47756270070107626,1.4784646016971357,1.290663326656941
114,2.0,0.14,0.4621871976939597,0.47976228582497416,1.4784646016971357,1.2808946287190788
115,2.0,0.15,0.4621871976939597,0.48207477576402785,1.4784646016971357,1.2716463086556054
116,2.0,0.16,0.4621871976939597,0.4844949309816554,1.4784646016971357,1.2628944561474842
117,2.0,0.17,0.4621871976939597,0.48701776454449963,1.4784646016971357,1.2546163200622227
118,2.0,0.18,0.4621871976939597,0.4896385286923498,1.4784646016971357,1.24679024667137
119,2.0,0.19,0.4621871976939597,0.4923527022018795,1.4784646016971357,1.239395621523491
120,2.0,0.2,0.4621871976939597,0.49515597849220516,1.4784646016971357,1.232412814733228
121,2.0,0.21,0.4621871976939597,0.49804425442404443,1.4784646016971357,1.2258231294641297
122,2.0,0.22,0.4621871976939597,0.5010136197477,1.4784646016971357,1.2196087533990014
123,2.0,0.23,0.4621871976939597,0.5040603471582634,1.4784646016971357,1.213752713006234
124,2.0,0.24,0.4621871976939597,0.50718088291937,1.4784646016971357,1.208238830423716
125,2.0,0.25,0.4621871976939597,0.5103718380195498,1.4784646016971357,1.2030516827950142
126,2.0,0.26,0.4621871976939597,0.5136299798277176,1.4784646016971357,1.1981765639033486
127,2.0,0.27,0.4621871976939597,0.5169522242166389,1.4784646016971357,1.1935994479601673
128,2.0,0.28,0.4621871976939597,0.5203356281253853,1.4784646016971357,1.1893069554144495
129,2.0,0.29,0.4621871976939597,0.5237773825337179,1.4784646016971357,1.185286320658347
130,2.0,0.3,0.4621871976939597,0.5272748058232062,1.4784646016971357,1.1815253615130088
131,2.0,0.31,0.4621871976939597,0.5308253375015708,1.4784646016971357,1.178012450386284
132,2.0,0.32,0.4621871976939597,0.5344265322683089,1.4784646016971357,1.1747364870012789
133,2.0,0.33,0.4621871976939597,0.5380760544010995,1.4784646016971357,1.1716868726013348
134,2.0,0.34,0.4621871976939597,0.5417716724438914,1.4784646016971357,1.1688534855433954
135,2.0,0.35000000000000003,0.4621871976939597,0.5455112541787348,1.4784646016971357,1.166226658197333
136,2.0,0.36,0.4621871976939597,0.5492927618647052,1.4784646016971357,1.1637971550742512
137,2.0,0.37,0.4621871976939597,0.553114247728225,1.4784646016971357,1.1615561521117692
138,2.0,0.38,0.4621871976939597,0.5569738496901693,1.4784646016971357,1.159495217048849
139,2.0,0.39,0.4621871976939597,0.560869787316088,1.4784646016971357,1.1576062908271947
140,2.0,0.4,0.4621871976939597,0.5648003579766478,1.4784646016971357,1.155881669959935
141,2.0,0.41000000000000003,0.4621871976939597,0.5687639332063539,1.4784646016971357,1.154313989812536
142,2.0,0.42,0.4621871976939597,0.572758955249214,1.4784646016971357,1.1528962087437746
143,2.0,0.43,0.4621871976939597,0.5767839337808369,1.4784646016971357,1.1516215930583062
144,2.0,0.44,0.4621871976939597,0.5808374427970131,1.4784646016971357,1.1504837027251895
145,2.0,0.45,0.4621871976939597,0.584918117659499,1.4784646016971357,1.149476377819399
146,2.0,0.46,0.4621871976939597,0.5890246522902867,1.4784646016971357,1.1485937256463732
147,2.0,0.47000000000000003,0.4621871976939597,0.5931557965061127,1.4784646016971357,1.14783010851159
148,2.0,0.48,0.4621871976939597,0.5973103534855704,1.4784646016971357,1.1471801320999182
149,2.0,0.49,0.4621871976939597,0.6014871773615216,1.4784646016971357,1.14663863443127
150,2.0,0.5,0.4621871976939597,0.6056851709320431,1.4784646016971357,1.146200675361299
151,2.0,0.51,0.4621871976939597,0.6099032834834826,1.4784646016971357,1.1458615265976162
152,2.0,0.52,0.4621871976939597,0.614140508719619,1.4784646016971357,1.1456166622038804
153,2.0,0.53,0.4621871976939597,0.6183958827912388,1.4784646016971357,1.145461749565526
154,2.0,0.54,0.4621871976939597,0.6226684824208057,1.4784646016971357,1.1453926407927206
155,2.0,0.55,0.4621871976939597,0.6269574231171854,1.4784646016971357,1.1454053645372755
156,2.0,0.56,0.4621871976939597,0.6312618574756943,1.4784646016971357,1.1454961182017995
157,2.0,0.5700000000000001,0.4621871976939597,0.635580973559017,1.4784646016971357,1.145661260520481
158,2.0,0.58,0.4621871976939597,0.6399139933547424,1.4784646016971357,1.1458973044921916
159,2.0,0.59,0.4621871976939597,0.6442601713056267,1.4784646016971357,1.1462009106475837
160,2.0,0.6,0.4621871976939597,0.648618792908751,1.4784646016971357,1.1465688806329826
161,2.0,0.61,0.4621871976939597,0.6529891733800892,1.4784646016971357,1.1469981510948029
162,2.0,0.62,0.4621871976939597,0.6573706563811559,1.4784646016971357,1.1474857878491291
163,2.0,0.63,0.4621871976939597,0.6617626128045555,1.4784646016971357,1.148028980322
164,2.0,0.64,0.4621871976939597,0.6661644396154653,1.4784646016971357,1.1486250362466146
165,2.0,0.65,0.4621871976939597,0.670575558746268,1.4784646016971357,1.1492713766046665
